[18:49:47.835] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSG00815/data/VOICE01.cpk (target path: app0:/data/VOICE01.cpk)
[18:49:47.837] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[18:49:47.843] |I| [export_sceIoOpen]: Opening file: app0:/data/VOICE01.cpk
[18:49:47.844] |E| [open_file]: Missing file at ./sdcard/ux0/app/PCSG00815/data/VOICE01.cpk (target path: app0:/data/VOICE01.cpk)
[18:49:47.846] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[18:49:49.058] |T| [open_file]: create_trophy_context: Opening file app0:/sce_sys/trophy/NPWR11035_00/TROPHY.TRP (ux0:/app/PCSG00815/sce_sys/trophy/NPWR11035_00/TROPHY.TRP), fd: 0xd
[18:49:49.061] |T| [open_file]: create_trophy_context: Opening file ux0:/user/00/trophy/data/NPWR11035_00/TROPUSR.DAT (ux0:/user/00/trophy/data/NPWR11035_00/TROPUSR.DAT), fd: 0xe
[18:49:49.064] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11035_00/TROPCONF.SFM (ux0:/user/00/trophy/conf/NPWR11035_00/TROPCONF.SFM), fd: 0xf
[18:49:49.067] |T| [write_file]: install_trophy_context: Writing to fd: 0xf, size: 2649
[18:49:49.068] |T| [close_file]: install_trophy_context: Closing file fd: 0xf
[18:49:49.070] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11035_00/TROP.SFM (ux0:/user/00/trophy/conf/NPWR11035_00/TROP.SFM), fd: 0x10
[18:49:49.072] |T| [write_file]: install_trophy_context: Writing to fd: 0x10, size: 7667
[18:49:49.073] |T| [close_file]: install_trophy_context: Closing file fd: 0x10
[18:49:49.075] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11035_00/ICON0.PNG (ux0:/user/00/trophy/conf/NPWR11035_00/ICON0.PNG), fd: 0x11
[18:49:49.077] |T| [write_file]: install_trophy_context: Writing to fd: 0x11, size: 105334
[18:49:49.080] |T| [close_file]: install_trophy_context: Closing file fd: 0x11
[18:49:49.082] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11035_00/TROP000.PNG (ux0:/user/00/trophy/conf/NPWR11035_00/TROP000.PNG), fd: 0x12
[18:49:49.085] |T| [write_file]: install_trophy_context: Writing to fd: 0x12, size: 97658
[18:49:49.086] |T| [close_file]: install_trophy_context: Closing file fd: 0x12
[18:49:49.088] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11035_00/TROP001.PNG (ux0:/user/00/trophy/conf/NPWR11035_00/TROP001.PNG), fd: 0x13
[18:49:49.089] |T| [write_file]: install_trophy_context: Writing to fd: 0x13, size: 127608
[18:49:49.090] |T| [close_file]: install_trophy_context: Closing file fd: 0x13
