[08:35:56.113] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon402.png
[08:35:56.116] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon403.png
[08:35:56.118] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon409.png
[08:35:56.124] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon410.png
[08:35:56.127] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon411.png
[08:35:56.131] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon412.png
[08:35:56.133] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon413.png
[08:35:56.147] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon501.png
[08:35:56.170] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon502.png
[08:35:56.177] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon503.png
[08:35:56.181] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon509.png
[08:35:56.183] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon510.png
[08:35:56.185] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon511.png
[08:35:56.196] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon512.png
[08:35:56.218] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon513.png
[08:35:56.242] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon600.png
[08:35:56.248] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon601.png
[08:35:56.251] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon602.png
[08:35:56.253] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon603.png
[08:35:56.256] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon604.png
[08:35:56.259] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon605.png
[08:35:56.261] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon606.png
[08:35:56.263] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon607.png
[08:35:56.267] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon608.png
[08:35:56.272] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon609.png
[08:35:56.275] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon610.png
[08:35:56.278] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon611.png
[08:35:56.290] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon612.png
[08:35:56.296] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon613.png
[08:35:56.302] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/icon_auto.png
[08:35:56.306] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/icon_empty.png
[08:35:56.314] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/icon_now.png
[08:35:56.317] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ITEM/GET_ITEM000.AT9
[08:35:56.464] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ITEM/GET_ITEM001.AT9
