[15:09:05.179] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Plugins/CommonDialog.suprx of fd: 0xe
[15:09:05.180] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Plugins/CommonDialog.suprx.b.suprx of fd: 0xe
[15:09:05.180] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Plugins/CommonDialog_stub.a of fd: 0xe
[15:09:05.181] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Plugins/SavedGames.suprx of fd: 0xe
[15:09:05.181] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Plugins/SavedGames.suprx.b.suprx of fd: 0xe
[15:09:05.182] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Plugins/SavedGames_stub.a of fd: 0xe
[15:09:05.182] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Plugins/UnityNpToolkit.suprx of fd: 0xe
[15:09:05.182] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Plugins/UnityNpToolkit.suprx.b.suprx of fd: 0xe
[15:09:05.183] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Plugins/UnityNpToolkit_stub.a of fd: 0xe
[15:09:05.183] |T| [close_dir]: sceIoDclose: Closing dir fd: 0xe
[15:09:05.184] |T| [open_dir]: _sceIoDopen: Opening dir app0:/Media/StreamingAssets (ux0:/app/PCSE00838/Media/StreamingAssets), fd: 0xf
[15:09:05.184] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/StreamingAssets/PS4SessionImage.jpg of fd: 0xf
[15:09:05.185] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/StreamingAssets/PSP2SessionImage.jpg of fd: 0xf
[15:09:05.185] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/StreamingAssets/SaveIcon.png of fd: 0xf
[15:09:05.186] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/StreamingAssets/SaveIconEmpty.png of fd: 0xf
[15:09:05.188] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/StreamingAssets/TweetUnity.png of fd: 0xf
[15:09:05.188] |T| [close_dir]: sceIoDclose: Closing dir fd: 0xf
[15:09:05.204] |E| [open_dir]: Directory does not exist at: C:/vita/ux0/user/00/savedata/PCSE00838/persistentdata/ (target path: savedata0:/persistentdata)
[15:09:05.205] |W| [io_error_impl]: open_dir (_sceIoDopen) returned 0x80010002
[15:09:05.224] |T| [log_import_call]: [LLE] TID: 66  FUNC: 0x91fa308e UNRECOGNISED at 0xeda5b8
[15:09:05.227] |T| [log_import_call]: [LLE] TID: 66  FUNC: 0xc6bae7e1 UNRECOGNISED at 0xedac08
[15:09:05.227] |T| [log_import_call]: [LLE] TID: 66  FUNC: 0x1f994a5e UNRECOGNISED at 0xeda6d8
[15:09:05.228] |T| [log_import_call]: [LLE] TID: 66  FUNC: 0xac498e17 UNRECOGNISED at 0xedab38
[15:09:05.231] |I| [export_sceIoOpen]: Opening file: app0:/mono/etc/mono/config
