[07:15:08.481] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.481] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.481] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.481] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.481] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.482] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.482] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x6, offset: 0x2A0, whence: SCE_SEEK_SET
[07:15:08.482] |T| [read_file]: parse_trophy_file: Reading 8 bytes of fd 0x6
[07:15:08.482] |T| [read_file]: parse_trophy_file: Reading 8 bytes of fd 0x6
[07:15:08.483] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x6, offset: 0x2C0, whence: SCE_SEEK_SET
[07:15:08.483] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.483] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.483] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.484] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.484] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.484] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.484] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
