oadExec]: sceAppMgrLoadExec run self: app0:GOW2.self
[23:21:01.622] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/TROP_08.SFM (ux0:/user/00/trophy/conf/NPWR05283_00/TROP_08.SFM), fd: 0xF
[23:21:01.626] |T| [write_file]: install_trophy_context: Writing to fd: 0xF, size: 7043
[23:21:01.627] |T| [close_file]: install_trophy_context: Closing file fd: 0xF
[23:21:01.628] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/ICON0.PNG (ux0:/user/00/trophy/conf/NPWR05283_00/ICON0.PNG), fd: 0x10
[23:21:01.630] |T| [write_file]: install_trophy_context: Writing to fd: 0x10, size: 46536
[23:21:01.631] |T| [close_file]: install_trophy_context: Closing file fd: 0x10
[23:21:01.632] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/TROP000.PNG (ux0:/user/00/trophy/conf/NPWR05283_00/TROP000.PNG), fd: 0x11
[23:21:01.633] |T| [write_file]: install_trophy_context: Writing to fd: 0x11, size: 89427
[23:21:01.634] |T| [close_file]: install_trophy_context: Closing file fd: 0x11
[23:21:01.635] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/TROP001.PNG (ux0:/user/00/trophy/conf/NPWR05283_00/TROP001.PNG), fd: 0x12
[23:21:01.637] |T| [write_file]: install_trophy_context: Writing to fd: 0x12, size: 89042
[23:21:01.640] |T| [close_file]: install_trophy_context: Closing file fd: 0x12
[23:21:01.641] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/TROP002.PNG (ux0:/user/00/trophy/conf/NPWR05283_00/TROP002.PNG), fd: 0x13
[23:21:01.643] |T| [write_file]: install_trophy_context: Writing to fd: 0x13, size: 89042
[23:21:01.643] |T| [close_file]: install_trophy_context: Closing file fd: 0x13
[23:21:01.644] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/TROP003.PNG (ux0:/user/00/trophy/conf/NPWR05283_00/TROP003.PNG), fd: 0x14
[23:21:01.646] |T| [write_file]: install_trophy_context: Writing to fd: 0x14, size: 89042
[23:21:01.646] |T| [close_file]: install_trophy_context: Closing file fd: 0x14
[23:21:01.647] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/TROP004.PNG (ux0:/user/00/trophy/conf/NPWR05283_00/TROP004.PNG), fd: 0x15
[23:21:01.648] |T| [write_file]: install_trophy_context: Writing to fd: 0x15, size: 89042
[23:21:01.649] |T| [close_file]: install_trophy_context: Closing file fd: 0x15
[23:21:01.650] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/TROP005.PNG (ux0:/user/00/trophy/conf/NPWR05283_00/TROP005.PNG), fd: 0x16
[23:21:01.651] |T| [write_file]: install_trophy_context: Writing to fd: 0x16, size: 89042
[23:21:01.651] |T| [close_file]: install_trophy_context: Closing file fd: 0x16
[23:21:01.654] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/TROP006.PNG (ux0:/user/00/trophy/conf/NPWR05283_00/TROP006.PNG), fd: 0x17
[23:21:01.657] |T| [write_file]: install_trophy_context: Writing to fd: 0x17, size: 89042
[23:21:01.659] |T| [close_file]: install_trophy_context: Closing file fd: 0x17
[23:21:01.660] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/TROP007.PNG (ux0:/user/00/trophy/conf/NPWR05283_00/TROP007.PNG), fd: 0x18
[23:21:01.661] |T| [write_file]: install_trophy_context: Writing to fd: 0x18, size: 89042
[23:21:01.662] |T| [close_file]: install_trophy_context: Closing file fd: 0x18
[23:21:01.663] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/TROP008.PNG (ux0:/user/00/trophy/conf/NPWR05283_00/TROP008.PNG), fd: 0x19
[23:21:01.665] |T| [write_file]: install_trophy_context: Writing to fd: 0x19, size: 89042
[23:21:01.665] |T| [close_file]: install_trophy_context: Closing file fd: 0x19
[23:21:01.666] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/TROP009.PNG (ux0:/user/00/trophy/conf/NPWR05283_00/TROP009.PNG), fd: 0x1A
