|I| [export__sceAppMgrLoadExec]: sceAppMgrLoadExec run self: app0:rc1.self
[10:32:55.503] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.503] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.504] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.505] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.505] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.506] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.507] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.507] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.508] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.508] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.509] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.509] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.510] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.510] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.510] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.511] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.511] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.512] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.513] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.515] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.516] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.517] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.517] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.517] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.518] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.518] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.519] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.519] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.520] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.520] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.521] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.521] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.522] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.523] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.524] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.525] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.526] |I| [export_sceIoOpen]: Opening file: tty3:
