[08:12:48.827] |D| [shader::create_parameters]: [BUFFER0  + 4] pa4 = (float4) invtx_TexCoord
[08:12:48.828] |T| [shader::usse::USSERecompiler::compile_code_node]: Compiling code_0, size = 5
[08:12:49.199] |T| [open_file]: create_trophy_context: Opening file app0:/sce_sys/trophy/NPWR12404_00/TROPHY.TRP (ux0:/app/PCSG01014/sce_sys/trophy/NPWR12404_00/TROPHY.TRP), fd: 0xb
[08:12:49.201] |E| [open_file]: Missing file at ./sdcard/ux0/user/00/trophy/data/NPWR12404_00/TROPUSR.DAT (target path: ux0:/user/00/trophy/data/NPWR12404_00/TROPUSR.DAT)
[08:12:49.201] |W| [io_error_impl]: open_file (create_trophy_context) returned 0x80010002
[08:12:49.203] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR12404_00/TROPCONF.SFM (ux0:/user/00/trophy/conf/NPWR12404_00/TROPCONF.SFM), fd: 0xc
[08:12:49.203] |T| [write_file]: install_trophy_context: Writing to fd: 0xc, size: 2140
[08:12:49.204] |T| [close_file]: install_trophy_context: Closing file fd: 0xc
[08:12:49.205] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR12404_00/TROP.SFM (ux0:/user/00/trophy/conf/NPWR12404_00/TROP.SFM), fd: 0xd
[08:12:49.206] |T| [write_file]: install_trophy_context: Writing to fd: 0xd, size: 5774
[08:12:49.206] |T| [close_file]: install_trophy_context: Closing file fd: 0xd
[08:12:49.209] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR12404_00/ICON0.PNG (ux0:/user/00/trophy/conf/NPWR12404_00/ICON0.PNG), fd: 0xe
[08:12:49.210] |T| [write_file]: install_trophy_context: Writing to fd: 0xe, size: 91314
[08:12:49.210] |T| [close_file]: install_trophy_context: Closing file fd: 0xe
[08:12:49.212] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR12404_00/TROP000.PNG (ux0:/user/00/trophy/conf/NPWR12404_00/TROP000.PNG), fd: 0xf
[08:12:49.213] |T| [write_file]: install_trophy_context: Writing to fd: 0xf, size: 127155
[08:12:49.213] |T| [close_file]: install_trophy_context: Closing file fd: 0xf
[08:12:49.216] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR12404_00/TROP001.PNG (ux0:/user/00/trophy/conf/NPWR12404_00/TROP001.PNG), fd: 0x10
[08:12:49.217] |T| [write_file]: install_trophy_context: Writing to fd: 0x10, size: 124379
[08:12:49.217] |T| [close_file]: install_trophy_context: Closing file fd: 0x10
[08:12:49.222] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR12404_00/TROP002.PNG (ux0:/user/00/trophy/conf/NPWR12404_00/TROP002.PNG), fd: 0x11
[08:12:49.223] |T| [write_file]: install_trophy_context: Writing to fd: 0x11, size: 123139
[08:12:49.223] |T| [close_file]: install_trophy_context: Closing file fd: 0x11
[08:12:49.226] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR12404_00/TROP003.PNG (ux0:/user/00/trophy/conf/NPWR12404_00/TROP003.PNG), fd: 0x12
[08:12:49.227] |T| [write_file]: install_trophy_context: Writing to fd: 0x12, size: 121124
[08:12:49.228] |T| [close_file]: install_trophy_context: Closing file fd: 0x12
[08:12:49.230] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR12404_00/TROP004.PNG (ux0:/user/00/trophy/conf/NPWR12404_00/TROP004.PNG), fd: 0x13
[08:12:49.231] |T| [write_file]: install_trophy_context: Writing to fd: 0x13, size: 122816
[08:12:49.232] |T| [close_file]: install_trophy_context: Closing file fd: 0x13
[08:12:49.234] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR12404_00/TROP005.PNG (ux0:/user/00/trophy/conf/NPWR12404_00/TROP005.PNG), fd: 0x14
[08:12:49.235] |T| [write_file]: install_trophy_context: Writing to fd: 0x14, size: 117179
[08:12:49.235] |T| [close_file]: install_trophy_context: Closing file fd: 0x14
[08:12:49.238] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR12404_00/TROP006.PNG (ux0:/user/00/trophy/conf/NPWR12404_00/TROP006.PNG), fd: 0x15
[08:12:49.238] |T| [write_file]: install_trophy_context: Writing to fd: 0x15, size: 118679
[08:12:49.239] |T| [close_file]: install_trophy_context: Closing file fd: 0x15
[08:12:49.244] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR12404_00/TROP007.PNG (ux0:/user/00/trophy/conf/NPWR12404_00/TROP007.PNG), fd: 0x16
[08:12:49.245] |T| [write_file]: install_trophy_context: Writing to fd: 0x16, size: 112984
[08:12:49.246] |T| [close_file]: install_trophy_context: Closing file fd: 0x16
[08:12:49.248] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR12404_00/TROP008.PNG (ux0:/user/00/trophy/conf/NPWR12404_00/TROP008.PNG), fd: 0x17
[08:12:49.249] |T| [write_file]: install_trophy_context: Writing to fd: 0x17, size: 128932
[08:12:49.250] |T| [close_file]: install_trophy_context: Closing file fd: 0x17
[08:12:49.252] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR12404_00/TROP009.PNG (ux0:/user/00/trophy/conf/NPWR12404_00/TROP009.PNG), fd: 0x18
[08:12:49.253] |T| [write_file]: install_trophy_context: Writing to fd: 0x18, size: 105936
[08:12:49.254] |T| [close_file]: install_trophy_context: Closing file fd: 0x18
[08:12:49.257] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR12404_00/TROP010.PNG (ux0:/user/00/trophy/conf/NPWR12404_00/TROP010.PNG), fd: 0x19
[08:12:49.259] |T| [write_file]: install_trophy_context: Writing to fd: 0x19, size: 109891
[08:12:49.259] |T| [close_file]: install_trophy_context: Closing file fd: 0x19
[08:12:49.262] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR12404_00/TROP011.PNG (ux0:/user/00/trophy/conf/NPWR12404_00/TROP011.PNG), fd: 0x1a
[08:12:49.262] |T| [write_file]: install_trophy_context: Writing to fd: 0x1a, size: 111245
[08:12:49.263] |T| [close_file]: install_trophy_context: Closing file fd: 0x1a
[08:12:49.266] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR12404_00/TROP012.PNG (ux0:/user/00/trophy/conf/NPWR12404_00/TROP012.PNG), fd: 0x1b
