[04:46:00.905] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Resources of fd: 0x6
[04:46:00.906] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/resources.assets of fd: 0x6
[04:46:00.907] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/resources.resource of fd: 0x6
[04:46:00.907] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets0.assets of fd: 0x6
[04:46:00.908] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets1.assets of fd: 0x6
[04:46:00.908] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets10.assets of fd: 0x6
[04:46:00.909] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets11.assets of fd: 0x6
[04:46:00.910] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets12.assets of fd: 0x6
[04:46:00.911] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets13.assets of fd: 0x6
[04:46:00.911] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets14.assets of fd: 0x6
[04:46:00.912] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets15.assets of fd: 0x6
[04:46:00.914] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets16.assets of fd: 0x6
[04:46:00.915] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets17.assets of fd: 0x6
[04:46:00.915] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets18.assets of fd: 0x6
[04:46:00.916] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets19.assets of fd: 0x6
[04:46:00.916] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets2.assets of fd: 0x6
[04:46:00.917] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets20.assets of fd: 0x6
[04:46:00.917] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets21.assets of fd: 0x6
[04:46:00.918] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets22.assets of fd: 0x6
[04:46:00.919] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets23.assets of fd: 0x6
[04:46:00.919] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets24.assets of fd: 0x6
[04:46:00.920] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets25.assets of fd: 0x6
[04:46:00.921] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets26.assets of fd: 0x6
[04:46:00.921] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets3.assets of fd: 0x6
[04:46:00.922] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets4.assets of fd: 0x6
[04:46:00.922] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets5.assets of fd: 0x6
[04:46:00.923] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets6.assets of fd: 0x6
[04:46:00.923] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets7.assets of fd: 0x6
[04:46:00.924] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets8.assets of fd: 0x6
[04:46:00.925] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets9.assets of fd: 0x6
[04:46:00.925] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/StreamingAssets of fd: 0x6
[04:46:00.927] |T| [close_dir]: sceIoDclose: Closing dir fd: 0x6
[04:46:00.929] |T| [open_dir]: _sceIoDopen: Opening dir app0:/Media/Managed (ux0:/app/PCSG00684/Media/Managed), fd: 0x7
[04:46:00.930] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/Assembly-CSharp-firstpass.dll of fd: 0x7
[04:46:00.931] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/Assembly-CSharp.dll of fd: 0x7
[04:46:00.931] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/Assembly-UnityScript-firstpass.dll of fd: 0x7
[04:46:00.933] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/Assembly-UnityScript.dll of fd: 0x7
[04:46:00.933] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/Boo.Lang.dll of fd: 0x7
[04:46:00.934] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/DOTween.dll of fd: 0x7
[04:46:00.935] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/DOTween43.dll of fd: 0x7
[04:46:00.935] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/DOTween46.dll of fd: 0x7
[04:46:00.936] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/DOTween50.dll of fd: 0x7
